EtniaId;EtniaCodigo;EtniaNombre;Activo;FechaRegistro;FechaModifica
72;71;Wanano;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
73;72;Wayuu;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
74;73;Witoto;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
75;74;Wiwa (Arzario);1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
76;75;Waunan (Wuanana);1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
77;76;Yagua;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
78;77;Yanacona;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
79;78;Yauna;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
80;79;Yukuna;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
81;80;Yuko (Yukpa);1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
82;81;Yurí (Carabayo);1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
83;82;Yuruti;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
84;83;Zenú;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
85;84;Quillacingas;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
