ResguardoId;ResguardoCodigo;ResguardoNombre;Activo;FechaRegistro;FechaModifica
65;064;CACHIVERA DE NARE;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
66;065;CAICEMAPA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
67;066;"CAIMAN NUEVO (amp) ";1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
68;067;CAIMANERO DE JAMPAPA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
69;068;CAJAROS;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
70;069;CALARCA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
71;070;CALDERAS;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
72;071;CALENTURAS;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
73;072;CALLE SANTA ROSA - RIO SAIJA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
74;073;CAMARITAGUA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
75;074;"CAMPOALEGRE ";1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
76;075;CAMPOALEGRE-RIPIALITO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
77;076;CAÑAMOMO-LOMAPRIETA_1;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
78;077;CAÑAMOMO-LOMAPRIETA_2;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
79;078;CANANAMA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
80;079;CAÑAVERALES-ANTADO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
81;080;CAÑO BACHACO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
82;081;CAÑO BOCON BRAZO AMANAVEN;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
83;082;CAÑO CAVASI;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
84;083;CAÑO CLARO;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
85;084;CAÑO GUARIPA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
86;085;CAÑO HORMIGA;1;2016-07-24 00:00:00.000;2016-07-24 00:00:00.000
